dataset,model,folder_path,top1,ECE,SCE,checkpoint_train_loss,checkpoint_train_top1,checkpoint_val_loss,checkpoint_val_top1,checkpoint_test_loss,checkpoint_test_top1,checkpoint_test_top3,checkpoint_test_top5,checkpoint_test_sce,checkpoint_test_ece
cifar10,convnet6,trained_model_library/cifar10/convnet6/2022-12-30-22:34:02.929595_FL+MDCA_gamma=1.0_beta=5.0,10.05,0.011774884016811852,0.008219164451695982,2.4789910859849718,9.877777777269152,2.3064131498336793,10.58,2.307344138622284,10.05,30.0,50.0,0.008219164451695982,0.011774884016811852
cifar10,convnet6,trained_model_library/cifar10/convnet6/2022-12-30-22:34:26.275033_FL+MDCA_gamma=1.0_beta=10.0,10.0,0.023911827802658076,0.011178157031536101,2.691219575415717,9.964444443935818,2.3113509941101076,10.52,2.312466285228729,10.0,30.0,50.0,0.011178157031536101,0.023911827802658076
cifar10,convnet6,trained_model_library/cifar10/convnet6/2022-12-30-22:34:49.437954_FL+MDCA_gamma=2.0_beta=1.0,28.39,0.016229228620231156,0.01882548351019621,1.7802473023944432,21.55999999762641,1.8730553340911866,28.04,1.8820074701309204,28.39,62.47,82.71,0.01882548351019621,0.016229228620231156
cifar10,convnet6,trained_model_library/cifar10/convnet6/2022-12-30-22:35:12.978329_FL+MDCA_gamma=2.0_beta=5.0,10.0,0.01406648159027099,0.008632573336362836,2.273488257937961,9.96666666615804,2.307269253730774,10.52,2.308098382949829,10.0,30.0,50.0,0.008632573336362836,0.01406648159027099
cifar10,convnet6,trained_model_library/cifar10/convnet6/2022-12-30-22:35:37.379377_FL+MDCA_gamma=2.0_beta=10.0,25.48,0.050672081737220286,0.02605268067851662,2.3909092485427856,16.175555555216473,2.0512848806381228,24.2,2.0483074378967285,25.48,57.23,76.4,0.02605268067851662,0.050672081737220286
cifar10,convnet8,trained_model_library/cifar10/convnet8/2022-12-30-22:36:02.226031_cross_entropy,52.02,0.13212251680642365,0.03634128378424328,1.5670554784562853,41.98444444173177,1.3522631430625915,52.74,1.369263814687729,52.02,83.11,93.79,0.03634128378424328,0.13212251680642365
cifar10,convnet8,trained_model_library/cifar10/convnet8/2022-12-30-22:36:26.615106_NLL+MDCA_beta=1.0,54.45,0.07981867944598198,0.025045391452051695,1.620103737703959,40.73111110839844,1.2313085877895356,55.94,1.269282003045082,54.45,84.83,94.31,0.025045391452051695,0.07981867944598198
cifar10,convnet8,trained_model_library/cifar10/convnet8/2022-12-30-22:36:50.972794_FL+MDCA_gamma=1_beta=5.0,27.62,0.09546548992395401,0.033152544390680265,1.820843473815918,21.42888888753255,1.8404054594039918,26.52,1.8299763202667236,27.62,68.67,86.22,0.033152544390680265,0.09546548992395401
cifar10,convnet8,trained_model_library/cifar10/convnet8/2022-12-30-22:37:15.219023_FL+MDCA_gamma=1_beta=10.0,19.98,0.030870610904693608,0.01613635958286002,2.107780454381307,15.79111110941569,1.9572481226921081,20.8,1.9602951538562774,19.98,53.18,80.44,0.01613635958286002,0.030870610904693608
cifar10,convnet8,trained_model_library/cifar10/convnet8/2022-12-30-22:37:39.335654_focal_loss_gamma=1.0,52.76,0.05835090162009002,0.025327606876865028,1.2803623794555663,41.22888888414171,1.2644557809829713,53.48,1.2954981350898742,52.76,84.53,94.32,0.025327606876865028,0.05835090162009002
cifar10,convnet8,trained_model_library/cifar10/convnet8/2022-12-30-22:38:02.426036_focal_loss_gamma=2.0,44.71,0.052357717368006707,0.0318144648659695,1.1330266357209948,37.419999995930986,1.4241464281082152,45.18,1.4452770376205444,44.71,80.78,92.66,0.0318144648659695,0.052357717368006707
cifar10,convnet8,trained_model_library/cifar10/convnet8/2022-12-30-22:38:25.606706_FL+MDCA_gamma=1.0_beta=1.0,49.37,0.051134913630783554,0.027316406875411047,1.3717071583324008,37.613333331976996,1.323625798225403,49.3,1.3384425723552704,49.37,83.56,94.45,0.027316406875411047,0.051134913630783554
cifar10,convnet8,trained_model_library/cifar10/convnet8/2022-12-30-22:38:50.014659_FL+MDCA_gamma=1.0_beta=5.0,25.94,0.03585438808202743,0.020793035310003906,1.8374422410329183,19.368888888549805,1.8460603141784668,25.1,1.8484199416637421,25.94,65.96,86.75,0.020793035310003906,0.03585438808202743
cifar10,convnet8,trained_model_library/cifar10/convnet8/2022-12-30-22:39:14.398632_FL+MDCA_gamma=1.0_beta=10.0,10.0,0.017730490863323206,0.009748753160238266,2.3241174473232693,10.1311111102634,2.3071961116790773,9.46,2.3078701591491697,10.0,30.0,50.0,0.009748753160238266,0.017730490863323206
cifar10,convnet8,trained_model_library/cifar10/convnet8/2022-12-30-22:39:38.814809_FL+MDCA_gamma=2.0_beta=1.0,42.78,0.030309290263056753,0.02474253789552487,1.2611430488798354,30.69555555352105,1.4642347812652587,43.28,1.4701212918758393,42.78,79.03,92.97,0.02474253789552487,0.030309290263056753
cifar10,convnet8,trained_model_library/cifar10/convnet8/2022-12-30-22:40:04.046843_FL+MDCA_gamma=2.0_beta=5.0,21.94,0.016870837685465823,0.019050485276347028,1.7101050986819797,16.73555555521647,1.9327827048301698,22.0,1.927619413137436,21.94,58.49,81.96,0.019050485276347028,0.016870837685465823
cifar10,convnet8,trained_model_library/cifar10/convnet8/2022-12-30-22:40:28.406977_FL+MDCA_gamma=2.0_beta=10.0,10.0,0.020840542018413538,0.008048194050788882,2.1196213091956246,10.16888888804118,2.307845664024353,9.46,2.307811794281006,10.0,30.0,50.0,0.008048194050788882,0.020840542018413538
cifar10,convnet10,trained_model_library/cifar10/convnet10/2022-12-30-22:40:52.790331_cross_entropy,39.48,0.10945351750254631,0.03054414328579791,1.8076280540890164,29.419999996609157,1.6368261241912843,39.66,1.6384766685962677,39.48,77.03,91.16,0.03054414328579791,0.10945351750254631
cifar10,convnet10,trained_model_library/cifar10/convnet10/2022-12-30-22:41:31.127911_NLL+MDCA_beta=1.0,40.04,0.0702168771341443,0.03324847256355919,1.8025671714146931,30.97999999593099,1.6340313315391541,39.64,1.6328883934020997,40.04,76.7,91.68,0.03324847256355919,0.0702168771341443
cifar10,convnet10,trained_model_library/cifar10/convnet10/2022-12-30-22:42:10.778208_FL+MDCA_gamma=1_beta=5.0,10.0,0.015805722773075098,0.006476537585258485,2.220242391459147,10.155555553860134,2.3049085998535155,9.8,2.305719907283783,10.0,30.0,50.0,0.006476537585258485,0.015805722773075098
cifar10,convnet10,trained_model_library/cifar10/convnet10/2022-12-30-22:42:50.613224_FL+MDCA_gamma=1_beta=10.0,10.0,0.02314674258232116,0.011209314316511154,2.3649019184536404,9.986666664971246,2.309522657394409,9.8,2.311113896369934,10.0,30.0,50.0,0.011209314316511154,0.02314674258232116
cifar10,convnet10,trained_model_library/cifar10/convnet10/2022-12-30-22:43:30.232281_focal_loss_gamma=1.0,36.39,0.06392718037515879,0.034170295371087275,1.5324183545854357,28.62888888753255,1.7093418669700622,35.46,1.7067427599430085,36.39,74.92,90.82,0.034170295371087275,0.06392718037515879
cifar10,convnet10,trained_model_library/cifar10/convnet10/2022-12-30-22:44:08.798584_focal_loss_gamma=2.0,32.17,0.0597655516564846,0.03292241119456477,1.389311781247457,26.075555550130208,1.8140337705612182,32.58,1.818826425075531,32.17,72.73,88.24,0.03292241119456477,0.0597655516564846
cifar10,convnet10,trained_model_library/cifar10/convnet10/2022-12-30-22:44:47.302999_FL+MDCA_gamma=1.0_beta=1.0,19.97,0.040076050384342664,0.02294567067465745,1.735224669202169,18.80888888719347,1.9351745080947875,20.64,1.9488047981262206,19.97,55.85,84.01,0.02294567067465745,0.040076050384342664
cifar10,convnet10,trained_model_library/cifar10/convnet10/2022-12-30-22:45:26.845202_FL+MDCA_gamma=1.0_beta=5.0,10.0,0.015805722773075098,0.006476537585258485,2.220242391459147,10.155555553860134,2.3049085998535155,9.8,2.305719907283783,10.0,30.0,50.0,0.006476537585258485,0.015805722773075098
cifar10,convnet10,trained_model_library/cifar10/convnet10/2022-12-30-22:46:06.330800_FL+MDCA_gamma=1.0_beta=10.0,10.0,0.02314674258232116,0.011209314316511154,2.3649019184536404,9.986666664971246,2.309522657394409,9.8,2.311113896369934,10.0,30.0,50.0,0.011209314316511154,0.02314674258232116
cifar10,convnet10,trained_model_library/cifar10/convnet10/2022-12-30-22:46:45.800320_FL+MDCA_gamma=2.0_beta=1.0,24.05,0.049421869772672655,0.024638072677850724,1.5298238504197863,20.677777774386936,1.8703289747238159,23.88,1.8875350034236908,24.05,65.16,85.07,0.024638072677850724,0.049421869772672655
cifar10,convnet10,trained_model_library/cifar10/convnet10/2022-12-30-22:47:24.802442_FL+MDCA_gamma=2.0_beta=5.0,10.0,0.015115649998188013,0.006637484282255174,2.018289513481988,10.108888887193467,2.305047969818115,9.8,2.305800323486328,10.0,30.0,50.0,0.006637484282255174,0.015115649998188013
cifar10,convnet10,trained_model_library/cifar10/convnet10/2022-12-30-22:48:02.773866_FL+MDCA_gamma=2.0_beta=10.0,10.0,0.02550154328346252,0.01220371425151825,2.1640448074764675,10.079999999576145,2.3116907787323,9.8,2.312855694293976,10.0,30.0,50.0,0.01220371425151825,0.02550154328346252
